sample_idx,chamfer_distance
1312,0.01191049
1313,0.01207798
1314,0.01158122
1315,0.01220827
1316,0.01224010
1317,0.01225419
1318,0.01172013
1319,0.01245491
1320,0.01195658
1321,0.01179011
1322,0.01223634
1323,0.01277650
1324,0.01200790
1325,0.01202251
1326,0.01234642
1327,0.01276706
1328,0.01245482
1329,0.01160332
1330,0.01238017
1331,0.01220323
1332,0.01288046
1333,0.01279534
1334,0.01229734
1335,0.01273550
1336,0.01270964
1337,0.01185862
1338,0.01239861
1339,0.01222593
1340,0.01239735
1341,0.01216498
1342,0.01281622
1343,0.01153594
1344,0.01210616
1345,0.01183994
1346,0.01263094
1347,0.01192014
1348,0.01122086
1349,0.01189261
1350,0.01158554
1351,0.01200187
1352,0.01210874
1353,0.01146195
1354,0.01306920
1355,0.01199968
1356,0.01227725
1357,0.01258947
1358,0.01205315
1359,0.01209698
1360,0.01146260
1361,0.01256100
1362,0.01199968
1363,0.01254234
1364,0.01223985
1365,0.01234016
1366,0.01265816
1367,0.01222082
1368,0.01243356
1369,0.01259154
1370,0.01235096
1371,0.01276005
1372,0.01263157
1373,0.01223906
1374,0.01256952
1375,0.01305334
1376,0.01183574
1377,0.01204730
1378,0.01252267
1379,0.01202940
1380,0.01226221
1381,0.01162475
1382,0.01276455
1383,0.01224393
1384,0.01213048
1385,0.01206378
1386,0.01199297
1387,0.01235055
1388,0.01291513
1389,0.01220252
1390,0.01186605
1391,0.01227431
1392,0.01209319
1393,0.01256532
1394,0.01192344
1395,0.01156280
1396,0.01208883
1397,0.01213446
1398,0.01277947
1399,0.01246414
1400,0.00267809
1401,0.00274513
1402,0.00259979
1403,0.00267788
1404,0.00263456
1405,0.00256173
1406,0.00256544
1407,0.00260100
1408,0.00255893
1409,0.00272775
1410,0.00258970
1411,0.00262054
1412,0.00260001
1413,0.00256458
1414,0.00262383
1415,0.00262335
1416,0.00259580
1417,0.00262041
1418,0.00261517
1419,0.00252217
1420,0.00255588
1421,0.00256408
1422,0.00256721
1423,0.00254317
1424,0.00266731
1425,0.00250599
1426,0.00261860
1427,0.00253926
